ens_gene,BRC20067,CB4856,DL238,N2
WBGene00008987,0,0,1,1
WBGene00008988,0,1,0,1
WBGene00008994,0,0,1,1
WBGene00009001,1,1,1,3
WBGene00009008,1,1,0,2
WBGene00009014,0,1,1,2
WBGene00009015,0,1,0,1
WBGene00009016,0,1,0,1
WBGene00009018,0,1,0,1
WBGene00009028,0,0,1,1
WBGene00009029,0,1,1,2
WBGene00009031,0,0,1,1
WBGene00009036,0,1,0,1
WBGene00009042,0,1,0,1
WBGene00009048,1,1,1,3
WBGene00009061,0,1,0,1
WBGene00009069,1,0,1,2
WBGene00009070,0,0,1,1
WBGene00009079,0,0,1,1
WBGene00009087,1,1,1,3
WBGene00009088,0,0,1,1
WBGene00009089,1,1,1,3
WBGene00009094,0,1,1,2
WBGene00009110,0,1,1,2
WBGene00009143,0,1,1,2
WBGene00009149,0,1,1,2
WBGene00009154,1,0,0,1
WBGene00009156,0,1,1,2
WBGene00009165,0,1,1,2
WBGene00009166,1,1,0,2
WBGene00009178,0,0,1,1
WBGene00009182,0,1,0,1
WBGene00009192,0,1,0,1
WBGene00009193,0,0,1,1
WBGene00009205,0,1,1,2
WBGene00009209,0,0,1,1
WBGene00009212,1,1,0,2
WBGene00009213,1,0,1,2
WBGene00009216,1,0,0,1
WBGene00009218,0,1,1,2
WBGene00009221,1,0,0,1
WBGene00009222,0,1,1,2
WBGene00009224,0,1,0,1
WBGene00009226,0,1,1,2
WBGene00009227,0,1,1,2
WBGene00009231,1,0,1,2
WBGene00009238,0,0,1,1
WBGene00009257,0,1,0,1
WBGene00009268,0,1,1,2
WBGene00009269,0,0,1,1
WBGene00009291,1,0,0,1
WBGene00009296,0,1,0,1
WBGene00009297,0,0,1,1
WBGene00009299,0,1,0,1
WBGene00009311,0,0,1,1
WBGene00009313,0,0,1,1
WBGene00009323,0,0,1,1
WBGene00009331,0,1,0,1
WBGene00009334,0,0,1,1
WBGene00009343,1,1,1,3
WBGene00009349,0,1,1,2
WBGene00009355,0,1,1,2
WBGene00009356,0,0,1,1
WBGene00009360,0,0,1,1
WBGene00009361,1,1,1,3
WBGene00009393,1,0,0,1
WBGene00009396,0,1,0,1
WBGene00009397,1,1,0,2
WBGene00009402,0,0,1,1
WBGene00009412,0,0,1,1
WBGene00009413,0,0,1,1
WBGene00009423,0,0,1,1
WBGene00009427,1,0,0,1
WBGene00009429,0,1,1,2
WBGene00009430,1,1,0,2
WBGene00009432,0,0,1,1
WBGene00009433,0,1,0,1
WBGene00009434,0,1,0,1
WBGene00009457,0,0,1,1
WBGene00009470,0,1,1,2
WBGene00009485,0,1,1,2
WBGene00009488,0,1,1,2
WBGene00009500,0,1,1,2
WBGene00009501,1,0,1,2
WBGene00009514,0,1,1,2
WBGene00009515,0,1,1,2
WBGene00009517,0,1,0,1
WBGene00009518,0,1,0,1
WBGene00009520,0,1,1,2
WBGene00009523,1,1,0,2
WBGene00009526,1,0,0,1
WBGene00009528,0,1,1,2
WBGene00009529,1,0,0,1
WBGene00009543,1,0,0,1
WBGene00009556,0,0,1,1
WBGene00009561,0,0,1,1
WBGene00009572,0,1,1,2
WBGene00009573,0,1,1,2
WBGene00009592,1,0,0,1
WBGene00009595,0,1,1,2
WBGene00009605,0,0,1,1
WBGene00009620,0,1,1,2
WBGene00009622,1,1,0,2
WBGene00009626,1,0,0,1
WBGene00009637,0,1,0,1
WBGene00009638,0,1,0,1
WBGene00009639,0,1,0,1
WBGene00009642,0,1,1,2
WBGene00009644,1,1,0,2
WBGene00009689,1,0,0,1
WBGene00009695,0,0,1,1
WBGene00009698,1,1,0,2
WBGene00009705,0,0,1,1
WBGene00009706,1,0,0,1
WBGene00009710,0,1,1,2
WBGene00009720,0,1,1,2
WBGene00009738,1,0,0,1
WBGene00009756,0,1,0,1
WBGene00009758,1,0,1,2
WBGene00009759,0,1,1,2
WBGene00009777,0,1,1,2
WBGene00009778,1,0,0,1
WBGene00009791,0,1,1,2
WBGene00009799,0,1,0,1
WBGene00009806,0,1,0,1
WBGene00009811,0,1,1,2
WBGene00009835,0,1,0,1
WBGene00009839,0,1,0,1
WBGene00009840,0,1,0,1
WBGene00009841,0,1,0,1
WBGene00009848,1,0,0,1
WBGene00009854,0,1,0,1
WBGene00009856,0,1,1,2
WBGene00009857,0,1,1,2
WBGene00009860,0,1,0,1
WBGene00009861,1,0,0,1
WBGene00009862,0,1,0,1
WBGene00009877,0,0,1,1
WBGene00009889,0,0,1,1
WBGene00009892,1,1,0,2
WBGene00009898,1,1,1,3
WBGene00009908,0,1,1,2
WBGene00009929,1,0,0,1
WBGene00009941,0,0,1,1
WBGene00009956,0,0,1,1
WBGene00009957,0,1,0,1
WBGene00009964,0,1,1,2
WBGene00009982,0,1,0,1
WBGene00009984,0,1,0,1
WBGene00009988,1,0,0,1
WBGene00010004,0,1,0,1
WBGene00010005,0,1,1,2
WBGene00010008,0,1,0,1
WBGene00010011,0,0,1,1
WBGene00010019,0,1,0,1
WBGene00010032,0,0,1,1
WBGene00010033,0,0,1,1
WBGene00010035,0,0,1,1
WBGene00010041,0,1,0,1
WBGene00010048,1,0,0,1
WBGene00010055,0,0,1,1
WBGene00010057,0,1,1,2
WBGene00010060,0,1,0,1
WBGene00010066,1,1,1,3
WBGene00010072,0,0,1,1
WBGene00010083,0,0,1,1
WBGene00010087,0,0,1,1
WBGene00010100,1,0,0,1
WBGene00010101,1,1,1,3
WBGene00010102,1,0,0,1
WBGene00010104,0,1,0,1
WBGene00010105,0,0,1,1
WBGene00010124,0,1,0,1
WBGene00010125,1,0,1,2
WBGene00010128,1,0,1,2
WBGene00010157,0,1,1,2
WBGene00010158,0,0,1,1
WBGene00010166,1,1,1,3
WBGene00010185,0,0,1,1
WBGene00010189,1,1,1,3
WBGene00010196,0,1,0,1
WBGene00010199,1,0,0,1
WBGene00010212,0,1,1,2
WBGene00010214,0,0,1,1
WBGene00010216,0,0,1,1
WBGene00010238,1,1,1,3
WBGene00010243,0,0,1,1
WBGene00010248,1,1,1,3
WBGene00010253,0,1,1,2
WBGene00010263,0,0,1,1
WBGene00010267,0,1,0,1
WBGene00010277,1,0,0,1
WBGene00010285,0,1,1,2
WBGene00010288,0,0,1,1
WBGene00010289,0,0,1,1
WBGene00010296,1,1,0,2
WBGene00010297,0,0,1,1
WBGene00010299,0,1,0,1
WBGene00010300,0,0,1,1
WBGene00010319,0,1,0,1
WBGene00010327,0,0,1,1
WBGene00010328,0,1,0,1
WBGene00010330,0,1,1,2
WBGene00010337,0,0,1,1
WBGene00010338,0,1,0,1
WBGene00010341,0,0,1,1
WBGene00010344,0,0,1,1
WBGene00010348,0,1,0,1
WBGene00010354,0,1,0,1
WBGene00010364,0,0,1,1
WBGene00010365,0,0,1,1
WBGene00010373,0,0,1,1
WBGene00010377,1,0,0,1
WBGene00010379,1,1,0,2
WBGene00010399,1,1,1,3
WBGene00010401,1,1,1,3
WBGene00010411,0,0,1,1
WBGene00010413,0,1,0,1
WBGene00010420,1,0,0,1
WBGene00010426,0,1,1,2
WBGene00010451,1,1,0,2
WBGene00010454,0,1,1,2
WBGene00010464,0,1,0,1
WBGene00010468,0,1,0,1
WBGene00010470,0,0,1,1
WBGene00010471,0,1,0,1
WBGene00010473,0,0,1,1
WBGene00010474,0,0,1,1
WBGene00010481,1,0,0,1
WBGene00010485,0,0,1,1
WBGene00010495,1,1,1,3
WBGene00010501,0,0,1,1
WBGene00010508,0,1,0,1
WBGene00010513,0,0,1,1
WBGene00010515,0,0,1,1
WBGene00010519,0,0,1,1
WBGene00010528,0,1,1,2
WBGene00010540,0,0,1,1
WBGene00010545,1,1,1,3
WBGene00010550,1,0,1,2
WBGene00010553,0,0,1,1
WBGene00010554,0,0,1,1
WBGene00010566,1,0,0,1
WBGene00010572,0,1,0,1
WBGene00010573,0,1,0,1
WBGene00010584,1,0,0,1
WBGene00010585,1,1,1,3
WBGene00010587,0,1,1,2
WBGene00010605,1,0,0,1
WBGene00010606,1,1,1,3
WBGene00010612,0,1,1,2
WBGene00010628,1,0,0,1
WBGene00010636,0,0,1,1
WBGene00010644,0,1,0,1
WBGene00010647,0,1,0,1
WBGene00010649,1,0,0,1
WBGene00010650,0,0,1,1
WBGene00010657,1,0,1,2
WBGene00010658,0,1,0,1
WBGene00010659,0,1,0,1
WBGene00010660,0,1,0,1
WBGene00010662,0,1,0,1
WBGene00010673,0,1,1,2
WBGene00010682,0,0,1,1
WBGene00010684,0,1,1,2
WBGene00010692,0,0,1,1
WBGene00010706,0,0,1,1
WBGene00010708,1,1,1,3
WBGene00010712,0,1,1,2
WBGene00010714,0,1,1,2
WBGene00010717,0,1,0,1
WBGene00010718,0,0,1,1
WBGene00010722,1,0,0,1
WBGene00010749,0,1,0,1
WBGene00010752,0,1,1,2
WBGene00010754,1,1,0,2
WBGene00010786,0,0,1,1
WBGene00010791,0,0,1,1
WBGene00010821,1,1,0,2
WBGene00010822,0,1,0,1
WBGene00010823,0,1,0,1
WBGene00010825,0,1,1,2
WBGene00010830,0,1,0,1
WBGene00010831,0,1,1,2
WBGene00010833,0,0,1,1
WBGene00010835,0,0,1,1
WBGene00010850,1,1,1,3
WBGene00010851,1,1,1,3
WBGene00010871,0,0,1,1
WBGene00010877,0,1,0,1
WBGene00010887,1,0,1,2
WBGene00010910,0,0,1,1
WBGene00010917,0,0,1,1
WBGene00010920,0,0,1,1
WBGene00010924,0,1,0,1
WBGene00010925,0,1,1,2
WBGene00010931,1,0,1,2
WBGene00010934,0,0,1,1
WBGene00010935,0,0,1,1
WBGene00010951,0,0,1,1
WBGene00010953,1,1,1,3
WBGene00010964,1,0,1,2
WBGene00010968,0,1,1,2
WBGene00010987,0,1,0,1
WBGene00010989,1,1,1,3
WBGene00010998,0,1,1,2
WBGene00011000,0,0,1,1
WBGene00011006,1,1,0,2
WBGene00011009,1,0,0,1
WBGene00011042,1,1,1,3
WBGene00011049,0,0,1,1
WBGene00011052,0,1,0,1
WBGene00011056,1,0,0,1
WBGene00011070,1,0,0,1
WBGene00011081,0,1,0,1
WBGene00011097,0,0,1,1
WBGene00011107,0,1,1,2
WBGene00011112,0,1,0,1
WBGene00011114,0,0,1,1
WBGene00011120,0,1,0,1
WBGene00011137,0,0,1,1
WBGene00011162,0,1,0,1
WBGene00011167,0,1,0,1
WBGene00011172,0,1,1,2
WBGene00011184,1,0,0,1
WBGene00011189,0,1,0,1
WBGene00011190,0,1,0,1
WBGene00011203,0,0,1,1
WBGene00011209,0,0,1,1
WBGene00011212,0,1,1,2
WBGene00011213,0,1,1,2
WBGene00011227,0,1,0,1
WBGene00011229,1,1,1,3
WBGene00011231,1,0,0,1
WBGene00011234,0,1,1,2
WBGene00011235,0,1,0,1
WBGene00011244,0,1,0,1
WBGene00011251,0,0,1,1
WBGene00011254,0,0,1,1
WBGene00011263,0,1,1,2
WBGene00011264,0,1,1,2
WBGene00011269,0,1,1,2
WBGene00011278,0,1,0,1
WBGene00011284,0,0,1,1
WBGene00011290,0,0,1,1
WBGene00011293,0,1,0,1
WBGene00011307,0,0,1,1
WBGene00011325,1,0,0,1
WBGene00011330,0,1,0,1
WBGene00011353,0,1,0,1
WBGene00011366,0,0,1,1
WBGene00011379,0,0,1,1
WBGene00011383,0,1,0,1
WBGene00011393,0,1,1,2
WBGene00011397,0,1,0,1
WBGene00011400,1,0,0,1
WBGene00011416,0,1,1,2
WBGene00011419,0,0,1,1
WBGene00011423,0,0,1,1
WBGene00011424,0,1,1,2
WBGene00011432,0,0,1,1
WBGene00011435,1,1,1,3
WBGene00011445,0,0,1,1
WBGene00011475,1,0,0,1
WBGene00011476,0,1,0,1
WBGene00011486,0,1,0,1
WBGene00011487,1,0,1,2
WBGene00011491,0,1,1,2
WBGene00011505,0,1,1,2
WBGene00011511,0,1,0,1
WBGene00011520,0,0,1,1
WBGene00011530,0,1,0,1
WBGene00011535,0,1,0,1
WBGene00011536,0,1,0,1
WBGene00011537,0,1,0,1
WBGene00011539,0,1,0,1
WBGene00011548,0,1,1,2
WBGene00011556,0,0,1,1
WBGene00011564,0,1,0,1
WBGene00011583,1,1,1,3
WBGene00011584,1,1,1,3
WBGene00011586,0,1,0,1
WBGene00011590,0,1,0,1
WBGene00011594,0,1,1,2
WBGene00011606,1,0,0,1
WBGene00011610,1,0,0,1
WBGene00011611,0,1,1,2
WBGene00011613,1,1,0,2
WBGene00011616,0,1,1,2
WBGene00011624,0,1,1,2
WBGene00011668,1,0,0,1
WBGene00011669,0,1,0,1
WBGene00011670,0,1,0,1
WBGene00011672,0,1,1,2
WBGene00011673,1,0,0,1
WBGene00011676,0,1,1,2
WBGene00011677,0,1,0,1
WBGene00011683,1,0,1,2
WBGene00011691,1,0,0,1
WBGene00011694,0,0,1,1
WBGene00011699,1,1,1,3
WBGene00011706,1,1,1,3
WBGene00011719,0,0,1,1
WBGene00011753,0,1,1,2
WBGene00011754,0,1,1,2
WBGene00011757,0,1,1,2
WBGene00011760,0,0,1,1
WBGene00011770,0,0,1,1
WBGene00011793,0,1,0,1
WBGene00011796,0,1,0,1
WBGene00011798,0,0,1,1
WBGene00011800,0,1,1,2
WBGene00011801,0,0,1,1
WBGene00011804,1,1,1,3
WBGene00011805,1,1,1,3
WBGene00011812,1,1,0,2
WBGene00011830,0,1,0,1
WBGene00011836,0,1,0,1
WBGene00011839,1,0,0,1
WBGene00011844,0,1,0,1
WBGene00011849,0,0,1,1
WBGene00011850,0,1,0,1
WBGene00011852,0,1,0,1
WBGene00011853,0,1,0,1
WBGene00011869,1,0,1,2
WBGene00011879,1,0,1,2
WBGene00011880,0,1,0,1
WBGene00011894,0,1,0,1
WBGene00011895,0,1,0,1
WBGene00011899,1,0,0,1
WBGene00011909,0,0,1,1
WBGene00011918,0,0,1,1
WBGene00011932,1,0,0,1
WBGene00011934,0,1,0,1
WBGene00011942,0,1,1,2
WBGene00011952,0,0,1,1
WBGene00011973,0,1,0,1
WBGene00011974,0,1,0,1
WBGene00011977,0,1,1,2
WBGene00011984,0,1,0,1
WBGene00011994,0,1,0,1
WBGene00011997,1,0,0,1
WBGene00011999,0,0,1,1
WBGene00012008,0,0,1,1
WBGene00012011,0,0,1,1
WBGene00012013,0,0,1,1
WBGene00012014,0,1,0,1
WBGene00012021,1,0,1,2
WBGene00012026,0,1,0,1
WBGene00012032,0,1,1,2
WBGene00012035,1,0,0,1
WBGene00012041,0,0,1,1
WBGene00012046,0,1,0,1
WBGene00012054,0,1,1,2
WBGene00012055,1,1,1,3
WBGene00012063,0,0,1,1
WBGene00012069,0,1,0,1
WBGene00012070,0,1,0,1
WBGene00012073,1,0,0,1
WBGene00012086,1,0,0,1
WBGene00012096,0,0,1,1
WBGene00012103,1,0,0,1
WBGene00012114,0,1,0,1
WBGene00012115,0,1,1,2
WBGene00012120,0,0,1,1
WBGene00012131,0,0,1,1
WBGene00012138,0,0,1,1
WBGene00012144,0,1,0,1
WBGene00012151,0,1,1,2
WBGene00012172,0,0,1,1
WBGene00012176,1,1,1,3
WBGene00012180,0,0,1,1
WBGene00012185,1,0,0,1
WBGene00012195,0,0,1,1
WBGene00012196,1,0,1,2
WBGene00012198,0,1,0,1
WBGene00012199,0,1,1,2
WBGene00012211,1,0,0,1
WBGene00012231,0,1,0,1
WBGene00012233,0,1,1,2
WBGene00012238,1,1,0,2
WBGene00012239,0,0,1,1
WBGene00012247,1,1,1,3
WBGene00012249,0,1,0,1
WBGene00012250,1,1,1,3
WBGene00012251,1,0,1,2
WBGene00012253,1,0,0,1
WBGene00012254,0,1,0,1
WBGene00012255,0,0,1,1
WBGene00012261,0,0,1,1
WBGene00012294,0,1,0,1
WBGene00012295,0,0,1,1
WBGene00012302,0,1,1,2
WBGene00012312,0,0,1,1
WBGene00012313,1,1,1,3
WBGene00012323,0,0,1,1
WBGene00012324,1,0,1,2
WBGene00012339,0,1,0,1
WBGene00012345,0,1,0,1
WBGene00012371,0,0,1,1
WBGene00012372,0,0,1,1
WBGene00012373,0,0,1,1
WBGene00012374,0,0,1,1
WBGene00012381,0,1,0,1
WBGene00012399,0,1,1,2
WBGene00012401,0,0,1,1
WBGene00012404,0,1,0,1
WBGene00012407,1,0,0,1
WBGene00012408,1,0,0,1
WBGene00012412,0,1,1,2
WBGene00012416,0,0,1,1
WBGene00012420,1,1,1,3
WBGene00012429,0,1,0,1
WBGene00012433,0,1,0,1
WBGene00012439,1,0,0,1
WBGene00012449,0,1,0,1
WBGene00012450,0,1,0,1
WBGene00012452,1,1,1,3
WBGene00012462,1,0,0,1
WBGene00012464,0,1,0,1
WBGene00012491,0,1,0,1
WBGene00012492,0,0,1,1
WBGene00012505,1,1,0,2
WBGene00012514,0,1,1,2
WBGene00012518,0,1,1,2
WBGene00012525,0,1,0,1
WBGene00012531,0,1,1,2
WBGene00012533,0,1,0,1
WBGene00012535,0,1,0,1
WBGene00012538,1,0,1,2
WBGene00012540,0,0,1,1
WBGene00012544,0,1,0,1
WBGene00012552,0,1,0,1
WBGene00012555,1,0,1,2
WBGene00012565,0,1,1,2
WBGene00012566,0,1,1,2
WBGene00012567,0,1,0,1
WBGene00012581,0,1,1,2
WBGene00012582,0,1,0,1
WBGene00012585,1,1,1,3
WBGene00012589,1,1,1,3
WBGene00012592,0,1,0,1
WBGene00012608,1,0,1,2
WBGene00012609,0,0,1,1
WBGene00012627,0,0,1,1
WBGene00012631,1,0,1,2
WBGene00012633,0,1,0,1
WBGene00012634,1,0,1,2
WBGene00012648,0,1,1,2
WBGene00012669,0,0,1,1
WBGene00012683,1,1,1,3
WBGene00012689,0,1,1,2
WBGene00012699,1,1,0,2
WBGene00012703,0,0,1,1
WBGene00012711,0,1,0,1
WBGene00012726,0,1,0,1
WBGene00012727,0,0,1,1
WBGene00012728,0,0,1,1
WBGene00012731,1,0,0,1
WBGene00012747,0,0,1,1
WBGene00012753,1,1,1,3
WBGene00012763,1,1,1,3
WBGene00012781,0,1,0,1
WBGene00012791,0,1,0,1
WBGene00012810,1,1,1,3
WBGene00012811,0,1,1,2
WBGene00012813,0,0,1,1
WBGene00012814,0,1,0,1
WBGene00012819,1,1,1,3
WBGene00012821,0,0,1,1
WBGene00012824,1,1,1,3
WBGene00012827,0,0,1,1
WBGene00012841,1,1,1,3
WBGene00012844,0,0,1,1
WBGene00012855,0,0,1,1
WBGene00012863,0,1,1,2
WBGene00012877,0,1,1,2
WBGene00012878,0,0,1,1
WBGene00012883,0,1,0,1
WBGene00012886,0,1,1,2
WBGene00012899,1,1,1,3
WBGene00012900,0,1,1,2
WBGene00012901,0,1,0,1
WBGene00012906,1,0,1,2
WBGene00012909,1,0,0,1
WBGene00012910,1,0,1,2
WBGene00012911,0,0,1,1
WBGene00012917,0,1,0,1
WBGene00012919,0,1,0,1
WBGene00012922,0,0,1,1
WBGene00012923,0,1,1,2
WBGene00012926,0,0,1,1
WBGene00012931,0,1,0,1
WBGene00012939,0,0,1,1
WBGene00012942,0,1,0,1
WBGene00012947,1,0,0,1
WBGene00012953,1,1,0,2
WBGene00012955,1,1,0,2
WBGene00012958,1,0,1,2
WBGene00012959,0,1,0,1
WBGene00012960,0,1,0,1
WBGene00012961,0,1,0,1
WBGene00012968,0,1,1,2
WBGene00012970,1,0,0,1
WBGene00012976,1,1,1,3
WBGene00012977,0,0,1,1
WBGene00012981,1,1,1,3
WBGene00012982,1,0,0,1
WBGene00013007,0,1,1,2
WBGene00013037,1,0,0,1
WBGene00013041,0,0,1,1
WBGene00013052,0,0,1,1
WBGene00013053,0,0,1,1
WBGene00013069,0,1,0,1
WBGene00013070,1,1,0,2
WBGene00013083,1,0,0,1
WBGene00013093,1,0,0,1
WBGene00013104,0,1,1,2
WBGene00013107,0,0,1,1
WBGene00013118,0,1,0,1
WBGene00013119,0,1,0,1
WBGene00013145,0,1,1,2
WBGene00013149,0,1,1,2
WBGene00013158,0,0,1,1
WBGene00013163,0,1,1,2
WBGene00013165,0,0,1,1
WBGene00013169,0,1,0,1
WBGene00013173,0,1,0,1
WBGene00013175,0,0,1,1
WBGene00013180,1,1,1,3
WBGene00013186,1,0,0,1
WBGene00013192,0,1,0,1
WBGene00013194,1,1,1,3
WBGene00013198,0,0,1,1
WBGene00013211,0,1,0,1
WBGene00013215,1,1,0,2
WBGene00013221,0,1,1,2
WBGene00013226,0,1,0,1
WBGene00013230,1,0,0,1
WBGene00013237,0,1,0,1
WBGene00013242,1,0,0,1
WBGene00013244,0,1,1,2
WBGene00013249,0,1,0,1
WBGene00013254,0,0,1,1
WBGene00013257,0,0,1,1
WBGene00013263,0,0,1,1
WBGene00013275,0,1,0,1
WBGene00013278,0,1,1,2
WBGene00013284,1,0,0,1
WBGene00013294,0,1,0,1
WBGene00013299,0,0,1,1
WBGene00013310,0,0,1,1
WBGene00013315,0,1,1,2
WBGene00013318,0,1,0,1
WBGene00013319,0,1,0,1
WBGene00013331,0,1,0,1
WBGene00013336,0,0,1,1
WBGene00013352,0,1,1,2
WBGene00013357,1,1,0,2
WBGene00013362,0,0,1,1
WBGene00013364,0,0,1,1
WBGene00013381,0,1,0,1
WBGene00013385,0,1,1,2
WBGene00013388,0,0,1,1
WBGene00013400,0,0,1,1
WBGene00013418,0,1,0,1
WBGene00013429,0,0,1,1
WBGene00013433,0,1,0,1
WBGene00013434,0,1,0,1
WBGene00013440,1,0,0,1
WBGene00013459,0,1,1,2
WBGene00013471,0,1,0,1
WBGene00013474,0,0,1,1
WBGene00013475,0,0,1,1
WBGene00013478,0,0,1,1
WBGene00013480,0,1,0,1
WBGene00013481,0,1,0,1
WBGene00013484,0,0,1,1
WBGene00013485,0,0,1,1
WBGene00013523,0,1,1,2
WBGene00013540,0,0,1,1
WBGene00013541,1,0,0,1
WBGene00013548,0,0,1,1
WBGene00013556,0,0,1,1
WBGene00013559,0,1,0,1
WBGene00013560,0,1,0,1
WBGene00013562,1,1,1,3
WBGene00013585,1,0,0,1
WBGene00013590,1,1,1,3
WBGene00013610,0,1,0,1
WBGene00013611,0,1,0,1
WBGene00013613,0,1,0,1
WBGene00013634,0,0,1,1
WBGene00013636,0,0,1,1
WBGene00013637,0,0,1,1
WBGene00013643,0,0,1,1
WBGene00013646,0,0,1,1
WBGene00013655,0,1,0,1
WBGene00013656,0,0,1,1
WBGene00013659,1,1,1,3
WBGene00013662,0,1,1,2
WBGene00013665,0,1,1,2
WBGene00013685,0,0,1,1
WBGene00013698,0,0,1,1
WBGene00013741,0,1,0,1
WBGene00013750,0,1,0,1
WBGene00013751,0,1,0,1
WBGene00013755,0,1,1,2
WBGene00013757,1,1,1,3
WBGene00013758,1,1,1,3
WBGene00013762,1,1,1,3
WBGene00013768,1,1,0,2
WBGene00013771,1,0,0,1
WBGene00013776,0,0,1,1
WBGene00013778,0,1,0,1
WBGene00013785,0,0,1,1
WBGene00013786,0,1,1,2
WBGene00013792,0,0,1,1
WBGene00013799,0,1,1,2
WBGene00013806,0,0,1,1
WBGene00013809,0,1,0,1
WBGene00013811,0,0,1,1
WBGene00013812,0,0,1,1
WBGene00013816,1,1,1,3
WBGene00013822,0,0,1,1
WBGene00013823,1,1,1,3
WBGene00013824,0,0,1,1
WBGene00013830,0,0,1,1
WBGene00013832,0,1,0,1
WBGene00013836,0,0,1,1
WBGene00013837,1,1,1,3
WBGene00013838,1,0,0,1
WBGene00013839,1,1,1,3
WBGene00013849,0,0,1,1
WBGene00013874,0,0,1,1
WBGene00013888,1,0,0,1
WBGene00013889,1,1,0,2
WBGene00013891,0,1,0,1
WBGene00013896,0,0,1,1
WBGene00013897,0,0,1,1
WBGene00013900,0,1,0,1
WBGene00013902,0,0,1,1
WBGene00013904,0,0,1,1
WBGene00013905,0,1,1,2
WBGene00013906,1,1,0,2
WBGene00013931,0,1,0,1
WBGene00013937,0,0,1,1
WBGene00013939,0,0,1,1
WBGene00013941,0,0,1,1
WBGene00013947,0,0,1,1
WBGene00013951,0,0,1,1
WBGene00013965,0,0,1,1
WBGene00013976,0,1,0,1
WBGene00013982,1,1,0,2
WBGene00013986,0,0,1,1
WBGene00013997,0,1,0,1
WBGene00013999,0,1,0,1
WBGene00014003,1,0,0,1
WBGene00014009,0,1,1,2
WBGene00014032,1,0,0,1
WBGene00014039,0,1,0,1
WBGene00014040,1,0,0,1
WBGene00014046,0,0,1,1
WBGene00014047,0,1,0,1
WBGene00014085,0,1,1,2
WBGene00014100,0,0,1,1
WBGene00014116,0,0,1,1
WBGene00014121,0,0,1,1
WBGene00014131,1,1,1,3
WBGene00014132,0,1,0,1
WBGene00014136,0,1,1,2
WBGene00014143,1,0,0,1
WBGene00014150,0,1,0,1
WBGene00014156,0,1,1,2
WBGene00014170,0,0,1,1
WBGene00014173,1,0,0,1
WBGene00014182,1,1,1,3
WBGene00014183,1,1,1,3
WBGene00014184,1,1,1,3
WBGene00014188,1,1,1,3
WBGene00014189,1,1,1,3
WBGene00014198,1,1,1,3
WBGene00014199,1,1,1,3
WBGene00014206,1,1,1,3
WBGene00014220,1,0,0,1
WBGene00014238,0,0,1,1
WBGene00014242,1,0,0,1
WBGene00014666,1,1,1,3
WBGene00014697,1,0,0,1
WBGene00014698,0,1,0,1
WBGene00014761,0,0,1,1
WBGene00014871,0,0,1,1
WBGene00014914,1,0,0,1
WBGene00015010,0,0,1,1
WBGene00015012,0,1,1,2
WBGene00015014,0,1,1,2
WBGene00015030,0,0,1,1
WBGene00015036,0,0,1,1
WBGene00015037,1,1,1,3
WBGene00015040,0,0,1,1
WBGene00015041,0,0,1,1
WBGene00015043,0,1,0,1
WBGene00015044,0,1,0,1
WBGene00015046,0,1,0,1
WBGene00015052,1,0,0,1
WBGene00015055,0,0,1,1
WBGene00015097,0,0,1,1
WBGene00015103,0,0,1,1
WBGene00015110,0,1,1,2
WBGene00015111,0,1,1,2
WBGene00015112,0,1,0,1
WBGene00015118,0,1,1,2
WBGene00015131,1,0,0,1
WBGene00015153,0,1,0,1
WBGene00015162,1,0,0,1
WBGene00015169,0,1,0,1
WBGene00015171,1,0,0,1
WBGene00015202,1,0,0,1
WBGene00015210,0,0,1,1
WBGene00015223,1,1,0,2
WBGene00015225,1,0,0,1
WBGene00015227,1,0,1,2
WBGene00015230,0,0,1,1
WBGene00015244,1,0,0,1
WBGene00015264,1,0,0,1
WBGene00015270,1,1,1,3
WBGene00015271,1,1,1,3
WBGene00015272,1,1,1,3
WBGene00015273,1,1,1,3
WBGene00015284,0,1,1,2
WBGene00015292,0,1,0,1
WBGene00015294,0,1,0,1
WBGene00015298,0,0,1,1
WBGene00015299,0,0,1,1
WBGene00015300,0,1,0,1
WBGene00015309,0,1,1,2
WBGene00015324,0,1,1,2
WBGene00015335,0,1,0,1
WBGene00015345,0,0,1,1
WBGene00015362,0,1,0,1
WBGene00015376,0,1,0,1
WBGene00015382,0,1,0,1
WBGene00015386,0,0,1,1
WBGene00015388,0,1,0,1
WBGene00015392,1,0,1,2
WBGene00015393,0,1,0,1
WBGene00015400,1,0,0,1
WBGene00015402,0,1,1,2
WBGene00015403,1,1,0,2
WBGene00015417,1,0,1,2
WBGene00015421,0,0,1,1
WBGene00015433,0,1,0,1
WBGene00015434,0,1,0,1
WBGene00015437,0,1,0,1
WBGene00015453,0,1,1,2
WBGene00015455,0,1,1,2
WBGene00015456,1,1,0,2
WBGene00015465,0,0,1,1
WBGene00015478,1,0,1,2
WBGene00015483,0,1,0,1
WBGene00015500,0,0,1,1
WBGene00015526,0,1,1,2
WBGene00015527,0,1,1,2
WBGene00015532,0,1,1,2
WBGene00015537,0,1,0,1
WBGene00015544,0,1,0,1
WBGene00015545,0,1,0,1
WBGene00015546,0,1,1,2
WBGene00015549,1,0,0,1
WBGene00015569,0,1,1,2
WBGene00015574,0,0,1,1
WBGene00015577,1,0,0,1
WBGene00015578,0,1,1,2
